time,power
2020-05-05 16:38:20+00:00,2630.0
2020-05-05 16:38:40+00:00,1160.0
2020-05-05 16:39:00+00:00,3700.0
2020-05-05 16:39:20+00:00,3590.0
2020-05-05 16:39:40+00:00,2630.0
2020-05-05 16:40:00+00:00,2490.0
2020-05-05 16:40:20+00:00,2510.0
2020-05-05 16:40:40+00:00,3690.0
2020-05-05 16:41:00+00:00,2590.0
2020-05-05 16:41:20+00:00,2600.0
2020-05-05 16:41:40+00:00,2420.0
2020-05-05 16:42:00+00:00,3630.0
2020-05-05 16:42:20+00:00,2500.0
2020-05-05 16:42:40+00:00,3780.0
2020-05-05 16:43:00+00:00,2500.0
2020-05-05 16:43:20+00:00,2390.0
2020-05-05 16:43:40+00:00,2500.0
2020-05-05 16:44:00+00:00,3700.0
2020-05-05 16:44:20+00:00,2620.0
2020-05-05 16:44:40+00:00,2400.0
2020-05-05 16:45:00+00:00,2410.0
2020-05-05 16:45:20+00:00,3700.0
2020-05-05 16:45:40+00:00,3730.0
2020-05-05 16:46:00+00:00,2520.0
2020-05-05 16:46:20+00:00,1170.0
2020-05-05 16:46:40+00:00,3750.0
2020-05-05 16:47:00+00:00,3780.0
2020-05-05 16:47:20+00:00,2470.0
2020-05-05 16:47:40+00:00,1320.0
2020-05-05 16:48:00+00:00,3760.0
2020-05-05 16:48:20+00:00,3680.0
2020-05-05 16:48:40+00:00,2420.0
2020-05-05 16:49:00+00:00,2550.0
2020-05-05 16:49:20+00:00,2430.0
2020-05-05 16:49:40+00:00,3670.0
2020-05-05 16:50:00+00:00,2430.0
2020-05-05 16:50:20+00:00,3700.0
2020-05-05 16:50:40+00:00,1200.0
2020-05-05 16:51:00+00:00,3700.0
2020-05-05 16:51:20+00:00,2580.0
2020-05-05 16:51:40+00:00,3710.0
2020-05-05 16:52:00+00:00,3720.0
2020-05-05 16:52:20+00:00,0.0
2020-05-05 16:52:40+00:00,3850.0
2020-05-05 16:53:00+00:00,3630.0
2020-05-05 16:53:20+00:00,3770.0
2020-05-05 16:53:40+00:00,1190.0
