time,power
2020-05-26 01:12:40+00:00,88100.0
2020-05-26 01:13:00+00:00,92710.0
2020-05-26 01:13:20+00:00,94810.0
2020-05-26 01:13:40+00:00,94510.0
2020-05-26 01:14:00+00:00,94720.0
2020-05-26 01:14:20+00:00,92440.0
2020-05-26 01:14:40+00:00,89860.0
2020-05-26 01:15:00+00:00,93470.0
2020-05-26 01:15:20+00:00,80140.0
2020-05-26 01:15:40+00:00,92100.0
2020-05-26 01:16:00+00:00,87600.0
2020-05-26 01:16:20+00:00,96990.0
2020-05-26 01:16:40+00:00,96180.0
2020-05-26 01:17:00+00:00,95960.0
2020-05-26 01:17:20+00:00,91240.0
2020-05-26 01:17:40+00:00,92700.0
2020-05-26 01:18:00+00:00,94400.0
2020-05-26 01:18:20+00:00,85400.0
2020-05-26 01:18:40+00:00,96170.0
2020-05-26 01:19:00+00:00,90280.0
2020-05-26 01:19:20+00:00,92810.0
2020-05-26 01:19:40+00:00,95200.0
2020-05-26 01:20:00+00:00,97810.0
2020-05-26 01:20:20+00:00,91810.0
2020-05-26 01:20:40+00:00,95290.0
2020-05-26 01:21:00+00:00,86140.0
2020-05-26 01:21:20+00:00,91050.0
2020-05-26 01:21:40+00:00,93300.0
2020-05-26 01:22:00+00:00,96750.0
2020-05-26 01:22:20+00:00,87350.0
2020-05-26 01:22:40+00:00,94360.0
2020-05-26 01:23:00+00:00,93400.0
2020-05-26 01:23:20+00:00,92820.0
2020-05-26 01:23:40+00:00,92360.0
2020-05-26 01:24:00+00:00,94470.0
2020-05-26 01:24:20+00:00,93150.0
2020-05-26 01:24:40+00:00,95130.0
2020-05-26 01:25:00+00:00,91300.0
2020-05-26 01:25:20+00:00,94610.0
2020-05-26 01:25:40+00:00,93200.0
2020-05-26 01:26:00+00:00,90180.0
2020-05-26 01:26:20+00:00,93500.0
2020-05-26 01:26:40+00:00,93590.0
2020-05-26 01:27:00+00:00,96600.0
2020-05-26 01:27:20+00:00,94860.0
2020-05-26 01:27:40+00:00,92950.0
2020-05-26 01:28:00+00:00,95000.0
2020-05-26 01:28:20+00:00,97190.0
2020-05-26 01:28:40+00:00,90170.0
2020-05-26 01:29:00+00:00,86400.0
2020-05-26 01:29:20+00:00,90870.0
2020-05-26 01:29:40+00:00,94290.0
2020-05-26 01:30:00+00:00,86520.0
2020-05-26 01:30:20+00:00,95770.0
2020-05-26 01:30:40+00:00,88820.0
2020-05-26 01:31:00+00:00,94520.0
2020-05-26 01:31:20+00:00,85810.0
2020-05-26 01:31:40+00:00,89770.0
2020-05-26 01:32:00+00:00,90350.0
2020-05-26 01:32:20+00:00,90880.0
