time,load_w,renewables_w,grid_w,battery_w,generator_w,soc,curtailment_wh
2020-05-26 00:30:20+00:00,114570.0,61911.761058391276,0.0,0.0,0.0,0.5,0.0
2020-05-26 00:30:40+00:00,111740.0,59342.968153167654,0.0,52397.031846832346,0.0,0.49990544189909936,0.0
2020-05-26 00:31:00+00:00,113020.0,56846.23132789882,0.0,56173.76867210118,0.0,0.4998039519026968,0.0
2020-05-26 00:31:20+00:00,109350.0,54420.525531074134,0.0,54929.474468925866,0.0,0.49970470694818375,0.0
2020-05-26 00:31:40+00:00,112620.0,52064.82571118314,0.0,60555.17428881686,0.0,0.4995953089403521,0.0
2020-05-26 00:32:00+00:00,117560.0,49778.10681671526,0.0,67781.89318328473,0.0,0.49947286837012267,0.0
2020-05-26 00:32:20+00:00,116830.0,47559.343796159905,0.0,69270.6562038401,0.0,0.4993477402977385,0.0
2020-05-26 00:32:40+00:00,118720.0,45407.51159800657,0.0,73312.48840199344,0.0,0.4992153171149527,0.0
2020-05-26 00:33:00+00:00,120360.0,43321.585170744685,0.0,77038.41482925531,0.0,0.4990761688002355,0.0
2020-05-26 00:33:20+00:00,118190.0,41300.539462863664,0.0,76889.46053713633,0.0,0.49893728836220197,0.0
2020-05-26 00:33:40+00:00,113570.0,39343.34942285304,0.0,74226.65057714697,0.0,0.49880321269080724,0.0
2020-05-26 00:34:00+00:00,110360.0,37448.98999920222,0.0,72911.01000079777,0.0,0.49867151056123005,0.0
2020-05-26 00:34:20+00:00,112220.0,35616.43614040064,0.0,76603.56385959935,0.0,0.49853314335438303,0.0
2020-05-26 00:34:40+00:00,108350.0,33844.662794937765,0.0,74505.33720506224,0.0,0.4983985620662397,0.0
2020-05-26 00:35:00+00:00,120680.0,32132.64491130305,0.0,88547.35508869696,0.0,0.4982386368379849,0.0
2020-05-26 00:35:20+00:00,112890.0,30479.35743798592,0.0,82410.64256201408,0.0,0.4980897859950326,0.0
2020-05-26 00:35:40+00:00,113830.0,28883.775323475853,0.0,84946.22467652414,0.0,0.49793635777112966,0.0
2020-05-26 00:36:00+00:00,107130.0,27344.873516262287,0.0,79785.12648373771,0.0,0.49779224336877725,0.0
2020-05-26 00:36:20+00:00,117050.0,25861.626964834657,0.0,91188.37303516534,0.0,0.4976275467136375,0.0
2020-05-26 00:36:40+00:00,112950.0,24433.010617682437,0.0,88516.98938231757,0.0,0.4974676702338407,0.0
2020-05-26 00:37:00+00:00,116360.0,23057.999423295067,0.0,93302.00057670493,0.0,0.4972991560884907,0.0
2020-05-26 00:37:20+00:00,111200.0,21735.568330161983,0.0,89464.43166983803,0.0,0.4971375669877662,0.0
2020-05-26 00:37:40+00:00,115330.0,20464.69228677266,0.0,94865.30771322736,0.0,0.4969662284629089,0.0
2020-05-26 00:38:00+00:00,117860.0,19244.346241616535,0.0,98615.65375838347,0.0,0.4967881193624877,0.0
